timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629174743,0.20605469,-0.57354736,-0.28546143,14.515625,7.953125,4.203125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174772,0.1772461,-0.7510376,-0.29083252,9.84375,-1.46875,5.796875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174801,0.12768555,-1.0813599,-0.32574463,-0.078125,2.109375,5.40625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174863,0.1237793,-1.4727173,-0.3184204,-2.46875,7.0625,0.34375,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174877,0.32836914,-1.447815,-0.36065674,-10.359375,8.828125,7.203125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174921,0.33325195,-1.1358032,-0.63287354,-15.84375,-7.59375,-2.828125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174966,0.3942871,-0.98638916,-0.48931885,2.609375,6.109375,-7.78125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629174996,0.8208008,-0.80474854,-0.20196533,-8.640625,-5.3125,-1.515625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175042,0.24609375,-0.8723755,-0.22784424,-11.96875,-16.875,-6.3125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175086,-0.056396484,-0.86383057,-0.2678833,3.09375,-4.890625,-8.0,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175115,0.35595703,-0.81866455,-0.13458252,3.59375,3.203125,-1.96875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175163,0.30322266,-0.7761841,-0.2444458,-8.765625,-4.453125,0.765625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175221,0.084228516,-0.6206665,-0.13873291,2.640625,-6.1875,4.703125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175239,0.1665039,-0.59576416,-0.11138916,-0.265625,-2.546875,11.15625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175296,0.103027344,-0.7007446,-0.14703369,0.203125,3.671875,13.890625,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175310,0.15454102,-0.7407837,-0.23590088,-2.46875,5.21875,15.71875,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
1664629175373,0.43164062,-1.0166626,-0.17779541,4.0625,7.703125,15.03125,Respeck,Climbing stairs,12,s1918275,,Respeck_s1918275_Climbing stairs_01-10-2022_14-00-09
