timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629275234,-1.515625,-0.0703125,0.2734375,-29.03125,-20.09375,-51.0625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275263,-0.9736328,0.24804688,0.27539062,10.28125,-16.40625,-27.84375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275326,-0.7626953,0.03515625,0.21777344,-15.96875,-12.4375,10.96875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275358,-0.60253906,0.13574219,0.16699219,-3.75,-26.84375,30.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275384,-0.43066406,0.1171875,0.1171875,9.25,-30.5625,58.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275441,-0.39257812,0.07714844,0.041992188,46.28125,-47.0625,78.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275473,-0.67285156,-0.119140625,-0.08496094,77.78125,-30.75,103.8125,-118.5,8.75,-165.8125,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275504,-0.6591797,-0.3330078,0.06347656,49.71875,58.09375,68.09375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275566,-0.7519531,-0.29492188,0.2626953,-16.75,68.59375,20.78125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629275595,-0.87597656,-0.20605469,0.19140625,56.1875,37.28125,-8.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
