timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629108383,0.17114258,-1.4126587,-0.548645,26.0625,18.109375,0.90625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108425,0.79907227,-1.831604,-0.22320557,-0.671875,-5.53125,6.359375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108472,-0.1628418,-1.4575806,-0.29693604,-7.359375,-11.21875,7.453125,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108506,0.27001953,-1.138977,-0.24078369,12.859375,10.921875,-1.328125,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108548,0.22924805,-0.99664307,-0.19805908,2.109375,-0.046875,6.953125,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108577,-0.026611328,-0.6956177,-0.18487549,0.234375,-3.28125,-1.125,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108622,0.05419922,-0.5396118,-0.19415283,-4.65625,2.734375,-4.84375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108683,0.11669922,-0.5952759,-0.13604736,-8.9375,1.203125,-4.375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108697,0.19335938,-0.45977783,-0.10626221,3.15625,-13.140625,-1.671875,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108759,0.017578125,-0.22784424,-0.12384033,-8.109375,-21.078125,1.90625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108785,-0.2055664,-0.4680786,-0.012268066,-8.65625,-0.625,-6.6875,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108816,-0.234375,-1.1426392,0.051696777,-15.15625,23.3125,-6.484375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108892,0.02368164,-1.4553833,-0.4524536,5.546875,32.40625,4.9375,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108906,0.95825195,-0.95269775,-0.5081177,8.421875,6.734375,-3.265625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629108938,0.68310547,-1.55719,-0.23370361,-5.828125,-17.546875,-1.171875,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629109013,-0.3239746,-1.9407349,-0.047180176,0.84375,3.375,11.765625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629109017,0.46362305,-1.180481,-0.3279419,18.890625,7.65625,-0.640625,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629109087,0.1772461,-1.0645142,-0.02960205,15.28125,2.34375,4.75,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
1664629109107,-0.061523438,-0.675354,-0.070373535,8.84375,7.8125,11.671875,Respeck,Descending stairs,13,s1918275,,Respeck_s1918275_Descending stairs_01-10-2022_13-59-10
